row_names	input	filtered	denoisedF	denoisedR	merged	non_chimeric
DM000013V1PQ83	10585	9805	9610	9573	9137	8401
DM00001V1PQ1	15200	13325	13084	12968	12561	11845
DM00006V1PQ1	22449	15992	15783	15503	14859	13209
DM00007V1PQ1	10369	8890	8813	8731	8611	8528
DM00008V1PQ16	40034	37207	36866	36794	36305	35213
DM00008V1PQ26	14663	13561	13296	13275	12829	11601
DM00009V1PQ65	17741	15546	15391	15331	14971	14187
DM00010V1PQ54	20759	18342	18165	18102	17895	16788
DM00011V1PQ55	21728	18777	18584	18481	17969	17051
DM00012V1PQ1	55580	51468	50867	50896	49768	45928
DM00013V1PQ65	30988	26803	26443	26284	25715	24680
DM00014V1PQ3	34416	30876	30566	30495	29971	28261
DM00014V1PQ64	31372	28508	28310	28204	27633	18784
DM00014V1PQ84	18685	16945	16664	16620	16142	14801
DM00015V1PQ	34111	30223	30035	29885	29192	28073
DM00016V1PQ16	15465	14063	13838	13801	13482	12758
DM00016V1PQ26	35842	32320	31930	31831	31269	28341
DM00017V1PQ16	36382	32049	31615	31421	30594	29308
DM00017V1PQ31	50585	44801	44333	44188	42222	40450
DM00018V1PQ46	50506	45856	45229	45062	44179	43058
DM00018V1PQ74	40040	35431	34625	34492	33073	30957
DM00018V1PQ75	64667	56629	55766	55566	53676	51752
DM00019V1PQ16	45332	39683	38947	38677	36927	35008
DM00019V1PQ36	20947	18574	18332	18162	17706	15081
DM00020V1PQ16	40026	36007	35643	35544	34886	33428
DM00020V1PQ26	37231	33707	33343	33265	32343	31488
DM00021V1PQ11-12	37693	34860	34586	34517	33852	32518
DM00021V1PQ31-41	53436	48600	48090	47992	46871	45107
DM00021V1PQ55	54039	46952	46388	46150	44036	42123
DM00021V1PQ65	54822	49403	48891	48806	48013	46894
DM00021V1PQ74	24047	22434	22199	22100	21876	20709
DM00021V1PQ75	27220	24402	24139	23992	23552	22096
DM00021V1PQ84	36185	33550	33116	33049	32398	31555
DM00021V1PQ85	9849	9099	8799	8723	8246	7692
DM00022V1PQ16	18452	16265	15925	15826	15324	14430
DM00022V1PQ26	18038	16619	16343	16187	15774	14613
DM00023V1PQ16	10871	9921	9697	9644	9414	9017
DM00023V1PQ26	14212	12347	12162	12085	11864	11117
DM00024V1PQ16	9632	8574	8499	8442	8300	8092
DM00024V1PQ41	34385	31990	31772	31710	31386	30827
DM00024V1PQ54	22414	19585	19412	19387	19068	18581
DM00024V1PQ55	37901	34462	34275	34218	33711	32866
