run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
ERR10958790	SAMEA112702466	ERX10397422	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/090/ERR10958790/ERR10958790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/090/ERR10958790/ERR10958790_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958790/DM00004V1PQ65_S4_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958790/DM00004V1PQ65_S4_L001_R2_001.fastq.gz	
ERR10958793	SAMEA112702469	ERX10397425	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/093/ERR10958793/ERR10958793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/093/ERR10958793/ERR10958793_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958793/DM00006V1PQ1_S7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958793/DM00006V1PQ1_S7_L001_R2_001.fastq.gz	
ERR10958794	SAMEA112702470	ERX10397426	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/094/ERR10958794/ERR10958794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/094/ERR10958794/ERR10958794_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958794/DM00007V1PQ1_S8_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958794/DM00007V1PQ1_S8_L001_R2_001.fastq.gz	
ERR10958796	SAMEA112702472	ERX10397428	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/096/ERR10958796/ERR10958796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/096/ERR10958796/ERR10958796_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958796/DM00008V1PQ26-1_S10_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958796/DM00008V1PQ26-1_S10_L001_R2_001.fastq.gz	
ERR10958798	SAMEA112702474	ERX10397430	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/098/ERR10958798/ERR10958798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/098/ERR10958798/ERR10958798_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958798/DM00009V1PQ65_S12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958798/DM00009V1PQ65_S12_L001_R2_001.fastq.gz	
ERR10958799	SAMEA112702475	ERX10397431	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/099/ERR10958799/ERR10958799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/099/ERR10958799/ERR10958799_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958799/DM00010V1PQ54_S13_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958799/DM00010V1PQ54_S13_L001_R2_001.fastq.gz	
ERR10958800	SAMEA112702476	ERX10397432	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/000/ERR10958800/ERR10958800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/000/ERR10958800/ERR10958800_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958800/DM00010V1PQ64-65_S14_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958800/DM00010V1PQ64-65_S14_L001_R2_001.fastq.gz	
ERR10958805	SAMEA112702481	ERX10397437	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10958805/ERR10958805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10958805/ERR10958805_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958805/DM00013V1PQ83-2_S19_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958805/DM00013V1PQ83-2_S19_L001_R2_001.fastq.gz	
ERR10958809	SAMEA112702485	ERX10397441	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/009/ERR10958809/ERR10958809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/009/ERR10958809/ERR10958809_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958809/DM00015V1PQ_S23_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958809/DM00015V1PQ_S23_L001_R2_001.fastq.gz	
ERR10958811	SAMEA112702487	ERX10397443	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/011/ERR10958811/ERR10958811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/011/ERR10958811/ERR10958811_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958811/DM00016V1PQ26_S25_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958811/DM00016V1PQ26_S25_L001_R2_001.fastq.gz	
ERR10958813	SAMEA112702489	ERX10397445	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/013/ERR10958813/ERR10958813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/013/ERR10958813/ERR10958813_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958813/DM00017V1PQ31_S27_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958813/DM00017V1PQ31_S27_L001_R2_001.fastq.gz	
ERR10958814	SAMEA112702490	ERX10397446	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10958814/ERR10958814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/014/ERR10958814/ERR10958814_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958814/DM00018V1PQ46-1_S28_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958814/DM00018V1PQ46-1_S28_L001_R2_001.fastq.gz	
ERR10958818	SAMEA112702494	ERX10397450	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/018/ERR10958818/ERR10958818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/018/ERR10958818/ERR10958818_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958818/DM00019V1PQ36-1_S32_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958818/DM00019V1PQ36-1_S32_L001_R2_001.fastq.gz	
ERR10958831	SAMEA112702507	ERX10397463	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/031/ERR10958831/ERR10958831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/031/ERR10958831/ERR10958831_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958831/DM00023V1PQ16-1_S45_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958831/DM00023V1PQ16-1_S45_L001_R2_001.fastq.gz	
ERR10958835	SAMEA112702511	ERX10397467	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/035/ERR10958835/ERR10958835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/035/ERR10958835/ERR10958835_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958835/DM00024V1PQ46-1_S49_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958835/DM00024V1PQ46-1_S49_L001_R2_001.fastq.gz	
ERR10958836	SAMEA112702512	ERX10397468	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/036/ERR10958836/ERR10958836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/036/ERR10958836/ERR10958836_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958836/DM00024V1PQ54-1_S50_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958836/DM00024V1PQ54-1_S50_L001_R2_001.fastq.gz	
ERR10958838	SAMEA112702514	ERX10397470	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/038/ERR10958838/ERR10958838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/038/ERR10958838/ERR10958838_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958838/DM00024V1PQ64-1_S52_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958838/DM00024V1PQ64-1_S52_L001_R2_001.fastq.gz	
ERR10958839	SAMEA112702515	ERX10397471	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10958839/ERR10958839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10958839/ERR10958839_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958839/DM00024V1PQ65-1_S53_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958839/DM00024V1PQ65-1_S53_L001_R2_001.fastq.gz	
ERR10958840	SAMEA112702516	ERX10397472	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/040/ERR10958840/ERR10958840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/040/ERR10958840/ERR10958840_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958840/DM00024V1PQ75-1_S54_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958840/DM00024V1PQ75-1_S54_L001_R2_001.fastq.gz	
ERR10958842	SAMEA112702518	ERX10397474	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/042/ERR10958842/ERR10958842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/042/ERR10958842/ERR10958842_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958842/DM00026V1PQ65-1_S56_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958842/DM00026V1PQ65-1_S56_L001_R2_001.fastq.gz	
ERR10958846	SAMEA112702522	ERX10397478	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10958846/ERR10958846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/046/ERR10958846/ERR10958846_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958846/DM00028V1PQ16-1_S60_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958846/DM00028V1PQ16-1_S60_L001_R2_001.fastq.gz	
ERR10958849	SAMEA112702525	ERX10397481	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10958849/ERR10958849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10958849/ERR10958849_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958849/DM00029V1PQ31-1_S63_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958849/DM00029V1PQ31-1_S63_L001_R2_001.fastq.gz	
ERR10958873	SAMEA112702549	ERX10397505	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/073/ERR10958873/ERR10958873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/073/ERR10958873/ERR10958873_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958873/DM00036V1PQ81_S87_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958873/DM00036V1PQ81_S87_L001_R2_001.fastq.gz	
ERR10958874	SAMEA112702550	ERX10397506	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/074/ERR10958874/ERR10958874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/074/ERR10958874/ERR10958874_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958874/DM00036V1PQ84_S88_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958874/DM00036V1PQ84_S88_L001_R2_001.fastq.gz	
ERR10958887	SAMEA112702563	ERX10397519	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/087/ERR10958887/ERR10958887_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/087/ERR10958887/ERR10958887_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958887/DM00042V1PQ75-85-1_S101_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958887/DM00042V1PQ75-85-1_S101_L001_R2_001.fastq.gz	
ERR10958890	SAMEA112702566	ERX10397522	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/090/ERR10958890/ERR10958890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/090/ERR10958890/ERR10958890_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958890/DM00044V1PQ16_S104_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958890/DM00044V1PQ16_S104_L001_R2_001.fastq.gz	
ERR10958907	SAMEA112702583	ERX10397539	PRJEB60354	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/007/ERR10958907/ERR10958907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/007/ERR10958907/ERR10958907_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958907/DM00049V1PQ41_S121_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR109/ERR10958907/DM00049V1PQ41_S121_L001_R2_001.fastq.gz	
